time,reason,drive_state,motion_enabled,depth_emergency,avoidance_offset,avoidance_offset_filtered,lane_offset,lane_offset_filtered,lane_valid,closest_idx,current_mean_curvature,current_max_curvature,target_v,prev_v,prev_delta
1781736701.065,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.067,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.145,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.147,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.226,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.227,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.305,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.306,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.385,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.386,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.465,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.466,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.545,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.547,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.625,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.626,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.705,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.709,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.785,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.787,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.872,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.878,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.945,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736701.947,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.025,tf_unavailable,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.027,pose_none,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.105,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.186,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.269,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.346,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.426,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.506,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.586,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.666,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.746,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.826,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.906,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736702.988,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.080,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.147,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.225,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.306,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.390,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.470,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.546,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.627,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.705,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.785,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.866,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736703.946,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.026,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.106,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.192,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.266,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
1781736704.350,localization_not_ready,DRIVE,False,False,0.0000,0.0000,-0.0000,0.0000,False,0,999.0000,999.0000,0.0000,0.0000,0.0000
